annee,indice_sous_jacent,indice_vt,exposition_pct
0.503968,101.263267,100.046726,62.077206
0.507937,101.011986,99.896376,62.156579
0.511905,101.120946,99.967104,70.233040
0.515873,102.401138,100.858915,69.614992
0.519841,102.303221,100.794818,75.142518
0.523810,102.917411,101.252016,78.035263
0.527778,102.662165,101.058264,81.866820
0.531746,103.540845,101.768191,81.531274
0.535714,104.151080,102.259070,146.575672
0.539683,104.947137,103.399974,144.608220
0.543651,105.540108,104.240241,145.099761
0.547619,105.313431,103.910720,143.998838
0.551587,105.321980,103.918331,149.729526
0.555556,105.991704,104.902614,150.000000
0.559524,106.396288,105.498051,150.000000
0.563492,105.161644,103.656486,149.179300
0.567460,104.313096,102.403689,141.334516
0.571429,104.323330,102.413689,147.139416
0.575397,104.664589,102.901834,150.000000
0.579365,104.144208,102.129305,145.981990
0.583333,103.927510,101.814426,150.000000
0.587302,102.208498,99.283285,132.141429
0.591270,102.774286,100.006361,130.598318
0.595238,102.690324,99.896626,141.291115
0.599206,102.413222,99.511664,140.735260
0.603175,102.916329,100.195631,141.711122
0.607143,103.178988,100.553863,141.789196
0.611111,101.495444,98.223343,128.762710
0.615079,101.920587,98.750318,130.077995
0.619048,101.680369,98.444620,135.525083
0.623016,100.551145,96.959469,133.676221
0.626984,100.433643,96.804768,133.574547
0.630952,100.551673,96.953505,133.120270
0.634921,100.775409,97.237498,137.129949
0.638889,101.399352,98.059491,134.528594
0.642857,101.637352,98.365764,140.105570
0.646825,101.793264,98.573261,143.039376
0.650794,102.111183,99.009416,141.624994
0.654762,102.512559,99.556509,141.116029
0.658730,103.362052,100.716651,136.245071
0.662698,103.475783,100.864016,136.337325
0.666667,103.935309,101.471072,150.000000
0.670635,104.051199,101.635752,150.000000
0.674603,104.894885,102.866862,150.000000
0.678571,105.302120,103.460800,150.000000
0.682540,105.802765,104.193505,150.000000
0.686508,106.264581,104.870524,150.000000
0.690476,105.869244,104.280095,150.000000
0.694444,105.314333,103.455050,150.000000
0.698413,105.842569,104.228284,150.000000
0.702381,104.437947,102.148316,150.000000
0.706349,104.377898,102.055149,150.000000
0.710317,105.205422,103.263750,150.000000
0.714286,104.263174,101.871340,150.000000
0.718254,104.303347,101.925164,150.000000
0.722222,103.935236,101.380531,150.000000
0.726190,104.574592,102.310963,150.000000
0.730159,103.611686,100.892794,150.000000
0.734127,103.303793,100.438069,150.000000
0.738095,102.920955,99.874760,150.000000
0.742063,102.597799,99.399419,150.000000
0.746032,103.216515,100.293629,150.000000
0.750000,103.184194,100.241547,150.000000
0.753968,102.940685,99.881727,150.000000
0.757937,103.275607,100.364226,150.000000
0.761905,103.804996,101.130946,150.000000
0.765873,104.058234,101.496000,150.000000
0.769841,104.297361,101.840824,150.000000
0.773810,104.120054,101.576077,150.000000
0.777778,104.106083,101.550593,150.000000
0.781746,104.427685,102.016117,150.000000
0.785714,104.599322,102.262566,150.000000
0.789683,105.478156,103.546295,150.000000
0.793651,105.324165,103.314402,150.000000
0.797619,106.679408,105.303351,150.000000
0.801587,106.589184,105.164537,150.000000
0.805556,106.305510,104.739497,150.000000
0.809524,106.278209,104.693953,150.000000
0.813492,106.635168,105.216217,150.000000
0.817460,106.352839,104.793140,150.000000
0.821429,107.694597,106.771062,150.000000
0.825397,108.179612,107.487049,150.000000
0.829365,108.973248,108.664550,150.000000
0.833333,109.338662,109.205728,150.000000
0.837302,109.190277,108.978004,150.000000
0.841270,108.239459,107.549143,150.000000
0.845238,108.851794,108.456453,150.000000
0.849206,109.558320,109.507013,150.000000
0.853175,109.217038,108.989897,150.000000
0.857143,109.296750,109.103810,150.000000
0.861111,109.878267,109.969134,150.000000
0.865079,109.572474,109.504610,150.000000
0.869048,110.176939,110.405313,150.000000
0.873016,110.607055,111.046348,150.000000
0.876984,110.507304,110.890619,150.000000
0.880952,111.066921,111.727455,150.000000
0.884921,110.936175,111.524628,150.000000
0.888889,110.067092,110.208556,150.000000
0.892857,109.343066,109.115654,150.000000
0.896825,110.241813,110.455558,150.000000
0.900794,110.055630,110.170263,150.000000
0.904762,110.594536,110.973998,150.000000
0.908730,112.241974,113.448130,150.000000
0.912698,112.215976,113.403087,150.000000
0.916667,112.487027,113.808338,150.000000
0.920635,116.483880,119.868394,104.070638
0.924603,118.081086,121.578430,101.145606
0.928571,119.941075,123.515310,97.572487
0.932540,120.964018,124.543461,98.956557
0.936508,116.821602,120.323100,72.290519
0.940476,114.838789,118.850059,68.312679
0.944444,114.901751,118.898308,68.527430
0.948413,114.407053,118.551225,68.243231
0.952381,113.288210,117.763768,67.113298
0.956349,113.560945,117.957884,67.144496
0.960317,112.723875,117.377920,66.655546
0.964286,114.671298,118.733462,64.589845
0.968254,115.263237,119.133510,65.291343
0.972222,114.249326,118.453387,64.928753
0.976190,117.131449,120.397695,61.465312
0.980159,117.182454,120.434523,61.573595
0.984127,118.434865,121.231670,61.222613
0.988095,119.085349,121.643981,62.115676
0.992063,117.574793,120.690101,60.557076
0.996032,118.240125,121.108406,60.488920
1.000000,117.540657,120.679789,68.906059
1.003968,117.362787,120.557675,70.720223
1.007937,116.121238,119.659249,72.693805
1.011905,116.819771,120.185752,73.203396
1.015873,116.386206,119.862418,91.518453
1.019841,116.141032,119.632346,98.991457
1.023810,115.491151,118.969800,97.971448
1.027778,115.426993,118.905290,98.556966
1.031746,114.798064,118.266927,100.640253
1.035714,116.125363,119.643013,97.484354
1.039683,117.591221,121.115581,96.457786
1.043651,117.192062,120.719447,102.738485
1.047619,116.852321,120.359568,102.860616
1.051587,117.326583,120.861698,105.791279
1.055556,117.657564,121.221702,134.530063
1.059524,116.419230,119.501153,127.231130
1.063492,116.639349,119.785398,135.133511
1.067460,112.536754,114.087706,91.351887
1.071429,115.867333,117.173164,76.885439
1.075397,118.058028,118.879159,72.817806
1.079365,118.234412,119.011697,73.214633
1.083333,118.498180,119.209246,73.217301
1.087302,117.971010,118.824118,74.415408
1.091270,117.711887,118.632912,74.678419
1.095238,117.302937,118.328106,74.701727
1.099206,118.396114,119.154834,73.901577
1.103175,116.680379,117.881839,71.687387
1.107143,115.958698,117.362469,71.231636
1.111111,120.060445,120.322930,61.934566
1.115079,119.801174,120.166544,62.470744
1.119048,122.860411,122.087976,59.586872
1.123016,123.792807,122.644963,59.639659
1.126984,125.921181,123.907459,58.705766
1.130952,123.488402,122.507193,55.869131
1.134921,123.697981,122.628717,55.865962
1.138889,123.871006,122.729913,56.799156
1.142857,119.060942,120.028265,49.247247
1.146825,116.778547,118.901159,52.997039
1.150794,115.740201,118.346409,56.376921
1.154762,118.619953,120.011605,55.090808
1.158730,116.418503,118.789926,53.497723
1.162698,119.183279,120.304628,51.151465
1.166667,121.059948,121.279434,50.408737
1.170635,119.901009,120.700135,50.020178
1.174603,121.744931,121.634600,49.409245
1.178571,125.371580,123.430981,47.153298
1.182540,127.247421,124.308282,47.798111
1.186508,128.106414,124.715819,48.168345
1.190476,129.012043,125.146913,51.522512
1.194444,124.523765,122.909739,46.565676
1.198413,118.978982,120.367756,42.742494
1.202381,120.001104,120.816573,42.698482
1.206349,120.515711,121.044664,43.452564
1.210317,119.392616,120.561299,44.079013
1.214286,119.970646,120.825272,44.002148
1.218254,119.875967,120.790027,44.022909
1.222222,119.001417,120.408797,48.232397
1.226190,119.468481,120.642922,49.559220
1.230159,118.532545,120.180557,49.632554
1.234127,117.713539,119.774417,51.662165
1.238095,118.862413,120.384085,52.818418
1.242063,117.769602,119.805126,54.893826
1.246032,117.478756,119.648071,56.290706
1.250000,117.349171,119.578968,56.658967
1.253968,118.415301,120.199646,57.572835
1.257937,118.247446,120.106611,64.123868
1.261905,118.868461,120.515366,66.193766
1.265873,118.485639,120.262492,67.133318
1.269841,117.168076,119.368625,67.890440
1.273810,117.608018,119.676716,78.667341
1.277778,116.784778,119.020237,140.308387
1.281746,117.568163,120.135671,142.999513
1.285714,118.164344,121.001700,142.243808
1.289683,119.169622,122.460910,141.961216
1.293651,119.010274,122.223353,144.081371
1.297619,118.480731,121.434436,142.722023
1.301587,116.672158,118.783707,130.042752
1.305556,117.221390,119.507329,129.513058
1.309524,117.414663,119.759025,132.535802
1.313492,117.212080,119.481303,135.479605
1.317460,116.563454,118.581328,141.896483
1.321429,116.791513,118.905610,147.793686
1.325397,116.458958,118.399580,147.632789
1.329365,116.108023,117.867255,147.063499
1.333333,116.599924,118.596120,150.000000
1.337302,115.931215,117.570000,150.000000
1.341270,115.798423,117.362165,150.000000
1.345238,115.280076,116.568322,150.000000
1.349206,114.103179,114.777468,150.000000
1.353175,113.517467,113.888014,150.000000
1.357143,114.817207,115.838338,145.684306
1.361111,115.622280,117.016384,145.263797
1.365079,115.933980,117.469376,147.346391
1.369048,116.830042,118.801658,148.683157
1.373016,117.066482,119.153400,147.876548
1.376984,116.284760,117.971149,145.909113
1.380952,115.995509,117.537612,150.000000
1.384921,115.427083,116.667807,150.000000
1.388889,115.055810,116.099125,150.000000
1.392857,114.527168,115.293212,150.000000
1.396825,114.584490,115.374050,150.000000
1.400794,114.370161,115.044619,150.000000
1.404762,114.206577,114.792089,150.000000
1.408730,114.424130,115.114397,150.000000
1.412698,115.076104,116.092547,150.000000
1.416667,115.551270,116.805832,150.000000
1.420635,115.862202,117.271501,150.000000
1.424603,114.722113,115.534748,150.000000
1.428571,113.952883,114.366999,150.000000
1.432540,112.255592,111.806137,147.120289
1.436508,111.770356,111.089887,150.000000
1.440476,110.134154,108.645016,150.000000
1.444444,109.670309,107.953266,150.000000
1.448413,109.600194,107.844386,150.000000
1.452381,110.381390,108.992058,150.000000
1.456349,111.191204,110.186083,149.985311
1.460317,112.370745,111.933765,136.597578
1.464286,113.263812,113.144865,131.555198
1.468254,112.320361,111.901467,128.414444
1.472222,112.903516,112.644375,126.920307
1.476190,113.305441,113.150320,125.951042
1.480159,113.643983,113.573220,125.385574
1.484127,114.375793,114.487372,123.065318
1.488095,115.663924,116.071541,117.143732
1.492063,116.391538,116.924925,116.842055
1.496032,116.173198,116.666689,117.240664
1.500000,115.494167,115.865212,115.929371
1.503968,115.928520,116.368541,120.228755
1.507937,116.147984,116.631066,123.116913
1.511905,115.349148,115.640799,135.581294
1.515873,115.460738,115.788394,138.122082
1.519841,115.407594,115.710403,150.000000
1.523810,114.386665,114.169251,150.000000
1.527778,115.239432,115.440307,150.000000
1.531746,115.172362,115.333800,150.000000
